,구,동,계,비율
2,종로구,사직동,277.0,0.04671951425
3,종로구,삼청동,108.0,0.01821555068
4,종로구,부암동,318.0,0.05363467701
5,종로구,평창동,513.0,0.08652386574
6,종로구,무악동,322.0,0.05430932704
7,종로구,교남동,356.0,0.06004385225
8,종로구,가회동,177.0,0.02985326362
9,종로구,종로1.2.3.4가동,383.0,0.06459773992
10,종로구,종로5.6가동,261.0,0.04402091415
11,종로구,이화동,323.0,0.05447798954
12,종로구,창신1동,285.0,0.0480688143
13,종로구,창신2동,501.0,0.08449991567
14,종로구,창신3동,336.0,0.05667060213
15,종로구,숭인1동,289.0,0.04874346433
16,종로구,숭인2동,422.0,0.07117557767
17,종로구,청운효자동,448.0,0.07556080283
18,종로구,혜화동,610.0,0.1028841289
20,중구,소공동,36.0,0.006389776358
21,중구,회현동,300.0,0.05324813632
22,중구,명동,125.0,0.02218672346
23,중구,필동,180.0,0.03194888179
24,중구,장충동,196.0,0.03478878239
25,중구,광희동,246.0,0.04366347178
26,중구,을지로동,89.0,0.01579694711
27,중구,신당5동,482.0,0.08555200568
28,중구,황학동,498.0,0.08839190628
29,중구,중림동,517.0,0.09176428825
30,중구,신당동,400.0,0.07099751509
31,중구,다산동,657.0,0.1166134185
32,중구,약수동,851.0,0.1510472133
33,중구,청구동,629.0,0.1116435925
34,중구,동화동,428.0,0.07596734114
36,용산구,후암동,747.0,0.09718969555
37,용산구,용산2가동,455.0,0.05919854281
38,용산구,남영동,517.0,0.06726515743
39,용산구,원효로2동,458.0,0.05958886287
40,용산구,효창동,313.0,0.04072339318
41,용산구,용문동,475.0,0.06180067655
42,용산구,이촌1동,496.0,0.06453291699
43,용산구,이촌2동,355.0,0.04618787406
44,용산구,이태원1동,231.0,0.03005464481
45,용산구,이태원2동,312.0,0.04059328649
46,용산구,서빙고동,371.0,0.04826958106
47,용산구,보광동,593.0,0.07715326568
48,용산구,청파동,821.0,0.1068175904
49,용산구,원효로1동,451.0,0.05867811606
50,용산구,한강로동,500.0,0.06505334374
51,용산구,한남동,591.0,0.0768930523
53,성동구,왕십리2동,645.0,0.05716058135
54,성동구,마장동,1061.0,0.0940269408
55,성동구,사근동,363.0,0.03216944346
56,성동구,행당1동,501.0,0.04439914924
57,성동구,행당2동,894.0,0.07922722439
58,성동구,응봉동,549.0,0.04865295994
59,성동구,금호1가동,664.0,0.05884438143
60,성동구,금호4가동,546.0,0.04838709677
61,성동구,성수1가1동,585.0,0.05184331797
62,성동구,성수1가2동,464.0,0.04112017015
63,성동구,성수2가1동,780.0,0.06912442396
64,성동구,성수2가3동,421.0,0.03730946473
65,성동구,송정동,512.0,0.04537398086
66,성동구,용답동,633.0,0.05609712868
67,성동구,왕십리도선동,1019.0,0.09030485643
68,성동구,금호2.3가동,930.0,0.08241758242
69,성동구,옥수동,717.0,0.06354129741
71,광진구,화양동,537.0,0.0438260018
72,광진구,군자동,802.0,0.06545335836
73,광진구,중곡1동,664.0,0.05419081041
74,광진구,중곡2동,882.0,0.07198237166
75,광진구,중곡3동,743.0,0.06063821105
76,광진구,중곡4동,1308.0,0.1067493675
