,인구수,구,동,장애노인_1인가구_추정수
0,4,강남구,개포1동,36
1,38,강남구,개포2동,89
2,44,강남구,개포4동,105
3,25,강남구,논현1동,92
4,15,강남구,논현2동,86
5,20,강남구,대치1동,47
6,40,강남구,대치2동,98
7,20,강남구,대치4동,66
8,24,강남구,도곡1동,64
9,36,강남구,도곡2동,82
10,16,강남구,삼성1동,49
11,33,강남구,삼성2동,96
12,134,강남구,세곡동,327
13,16,강남구,수서동,356
14,18,강남구,신사동,67
15,19,강남구,압구정동,84
16,16,강남구,역삼1동,123
17,45,강남구,역삼2동,107
18,48,강남구,일원1동,182
19,49,강남구,일원2동,199
20,81,강남구,일원본동,119
21,34,강남구,청담동,82
22,75,강동구,강일동,274
23,61,강동구,고덕1동,115
24,40,강동구,고덕2동,135
25,55,강동구,길동,334
26,45,강동구,둔촌2동,157
27,35,강동구,명일1동,144
28,28,강동구,명일2동,75
29,88,강동구,상일1동,174
30,33,강동구,상일2동,92
31,33,강동구,성내1동,109
32,16,강동구,성내2동,180
33,34,강동구,성내3동,147
34,58,강동구,암사1동,283
35,23,강동구,암사2동,84
36,57,강동구,암사3동,93
37,57,강동구,천호1동,239
38,57,강동구,천호2동,278
39,21,강동구,천호3동,219
40,25,강북구,미아동,192
41,18,강북구,번1동,171
42,32,강북구,번2동,228
43,27,강북구,번3동,335
44,62,강북구,삼각산동,212
45,53,강북구,삼양동,226
46,33,강북구,송중동,239
47,23,강북구,송천동,259
48,90,강북구,수유1동,217
49,36,강북구,수유2동,185
50,23,강북구,수유3동,189
51,32,강북구,우이동,174
52,53,강북구,인수동,303
53,36,강서구,가양1동,134
54,27,강서구,가양2동,407
55,16,강서구,가양3동,279
56,52,강서구,공항동,221
57,24,강서구,등촌1동,125
58,26,강서구,등촌2동,120
59,41,강서구,등촌3동,625
60,69,강서구,발산1동,251
61,80,강서구,방화1동,295
62,24,강서구,방화2동,270
63,29,강서구,방화3동,335
64,80,강서구,염창동,176
65,61,강서구,우장산동,210
66,47,강서구,화곡1동,349
67,31,강서구,화곡2동,127
68,19,강서구,화곡3동,138
69,28,강서구,화곡4동,168
70,31,강서구,화곡6동,163
71,33,강서구,화곡8동,175
72,53,강서구,화곡본동,236
73,9,관악구,낙성대동,78
74,57,관악구,난곡동,277
75,26,관악구,난향동,114
76,13,관악구,남현동,93
77,19,관악구,대학동,126
78,49,관악구,미성동,243
79,47,관악구,보라매동,186
80,35,관악구,삼성동,243
81,24,관악구,서림동,149
82,19,관악구,서원동,132
83,41,관악구,성현동,240
84,6,관악구,신림동,93
85,30,관악구,신사동,157
86,12,관악구,신원동,144
87,58,관악구,은천동,278
88,24,관악구,인헌동,153
89,22,관악구,조원동,118
90,15,관악구,중앙동,101
91,30,관악구,청룡동,189
92,22,관악구,청림동,112
93,25,관악구,행운동,178
94,42,광진구,광장동,121
95,20,광진구,구의1동,133
96,39,광진구,구의2동,180
97,35,광진구,구의3동,137
98,22,광진구,군자동,135
99,6,광진구,능동,65
100,20,광진구,자양1동,158
101,31,광진구,자양2동,156
102,35,광진구,자양3동,135
103,11,광진구,자양4동,147
104,16,광진구,중곡1동,112
105,30,광진구,중곡2동,149
106,19,광진구,중곡3동,125
107,20,광진구,중곡4동,220
108,5,광진구,화양동,90
109,9,구로구,가리봉동,91
110,49,구로구,개봉1동,282
111,45,구로구,개봉2동,245
112,24,구로구,개봉3동,177
113,38,구로구,고척1동,186
114,43,구로구,고척2동,222
115,25,구로구,구로1동,89
116,39,구로구,구로2동,240
117,29,구로구,구로3동,156
118,20,구로구,구로4동,210
119,34,구로구,구로5동,191
120,62,구로구,수궁동,214
121,46,구로구,신도림동,159
122,29,구로구,오류1동,187
123,98,구로구,오류2동,349
124,42,구로구,항동,95
125,17,금천구,가산동,124
126,56,금천구,독산1동,335
127,33,금천구,독산2동,163
128,29,금천구,독산3동,205
129,25,금천구,독산4동,134
130,53,금천구,시흥1동,282
131,37,금천구,시흥2동,189
132,8,금천구,시흥3동,93
133,27,금천구,시흥4동,192
134,46,금천구,시흥5동,211
135,48,노원구,공릉1동,371
136,74,노원구,공릉2동,228
137,18,노원구,상계10동,95
138,75,노원구,상계1동,319
139,43,노원구,상계2동,144
140,44,노원구,상계3.4동,274
141,33,노원구,상계5동,218
142,62,노원구,상계6.7동,217
143,29,노원구,상계8동,123
144,29,노원구,상계9동,122
145,28,노원구,월계1동,166
146,56,노원구,월계2동,381
147,38,노원구,월계3동,330
148,47,노원구,중계1동,120
149,74,노원구,중계2.3동,525
150,44,노원구,중계4동,253
151,35,노원구,중계본동,127
152,50,노원구,하계1동,350
153,29,노원구,하계2동,168
154,29,도봉구,도봉1동,251
155,43,도봉구,도봉2동,247
156,43,도봉구,방학1동,248
157,40,도봉구,방학2동,209
158,47,도봉구,방학3동,172
159,38,도봉구,쌍문1동,191
160,29,도봉구,쌍문2동,159
161,21,도봉구,쌍문3동,142
162,23,도봉구,쌍문4동,109
163,22,도봉구,창1동,168
164,42,도봉구,창2동,223
165,31,도봉구,창3동,133
166,38,도봉구,창4동,164
167,37,도봉구,창5동,162
168,29,동대문구,답십리1동,184
169,32,동대문구,답십리2동,242
170,12,동대문구,용신동,246
171,10,동대문구,이문1동,132
172,40,동대문구,이문2동,168
173,53,동대문구,장안1동,282
174,36,동대문구,장안2동,224
175,29,동대문구,전농1동,251
176,19,동대문구,전농2동,154
177,32,동대문구,제기동,232
178,12,동대문구,청량리동,206
179,8,동대문구,회기동,54
180,24,동대문구,휘경1동,86
181,29,동대문구,휘경2동,151
182,33,동작구,노량진1동,210
183,10,동작구,노량진2동,94
184,47,동작구,대방동,261
185,16,동작구,사당1동,132
