,구,동,계,비율,장애인취업자,대상자_수,수급자_수
0,강남구,대치1동,282.0,0.01857462785,13.0,70.0,45.0
1,강남구,세곡동,1942.0,0.1279146358,89.0,483.0,308.0
2,강남구,도곡1동,380.0,0.02502964036,17.0,95.0,60.0
3,강남구,신사동,396.0,0.02608351996,18.0,98.0,63.0
4,강남구,논현1동,548.0,0.0360953761,25.0,136.0,87.0
5,강남구,논현2동,510.0,0.03359241207,23.0,127.0,81.0
6,강남구,삼성1동,291.0,0.01916743512,13.0,72.0,46.0
7,강남구,대치4동,392.0,0.02582005006,18.0,97.0,62.0
8,강남구,역삼1동,728.0,0.04795152154,33.0,181.0,116.0
9,강남구,역삼2동,636.0,0.04189171387,29.0,158.0,101.0
10,강남구,도곡2동,488.0,0.03214332762,22.0,121.0,77.0
11,강남구,삼성2동,573.0,0.03774206297,26.0,143.0,91.0
12,강남구,개포1동,213.0,0.0140297721,10.0,53.0,34.0
13,강남구,압구정동,498.0,0.03280200237,23.0,124.0,79.0
14,강남구,대치2동,584.0,0.03846660519,27.0,145.0,93.0
15,강남구,개포2동,528.0,0.03477802661,24.0,131.0,84.0
16,강남구,수서동,2115.0,0.1393097089,97.0,526.0,336.0
17,강남구,청담동,486.0,0.03201159268,22.0,121.0,77.0
18,강남구,일원1동,1082.0,0.07126860756,50.0,269.0,172.0
19,강남구,일원본동,708.0,0.04663417205,33.0,176.0,112.0
20,강남구,개포4동,623.0,0.0410354367,29.0,155.0,99.0
21,강남구,일원2동,1179.0,0.0776577526,54.0,293.0,187.0
22,강동구,천호3동,1300.0,0.06983990545,13.0,269.0,170.0
23,강동구,성내1동,645.0,0.0346513377,6.0,133.0,84.0
24,강동구,명일2동,446.0,0.02396045987,4.0,92.0,58.0
25,강동구,고덕1동,681.0,0.03658536585,7.0,141.0,89.0
26,강동구,고덕2동,803.0,0.04313957236,8.0,166.0,105.0
27,강동구,암사2동,500.0,0.0268615021,5.0,103.0,65.0
28,강동구,암사3동,552.0,0.02965509831,5.0,114.0,72.0
29,강동구,천호1동,1420.0,0.07628666595,14.0,293.0,185.0
30,강동구,둔촌1동,3.0,0.0001611690126,0.0,1.0,0.0
31,강동구,상일2동,546.0,0.02933276029,5.0,113.0,71.0
32,강동구,길동,1984.0,0.1065864403,19.0,410.0,259.0
33,강동구,성내3동,876.0,0.04706135167,8.0,181.0,114.0
34,강동구,둔촌2동,935.0,0.05023100892,9.0,193.0,122.0
35,강동구,암사1동,1681.0,0.09030837004,16.0,347.0,219.0
36,강동구,천호2동,1649.0,0.08858923391,16.0,341.0,215.0
37,강동구,강일동,1628.0,0.08746105082,16.0,336.0,212.0
38,강동구,명일1동,856.0,0.04598689159,8.0,177.0,112.0
39,강동구,상일1동,1036.0,0.05565703234,10.0,214.0,135.0
40,강동구,성내2동,1071.0,0.05753733749,10.0,221.0,140.0
41,강북구,미아동,1143.0,0.06570853694,4.0,230.0,170.0
42,강북구,송중동,1422.0,0.08174762863,5.0,286.0,212.0
43,강북구,인수동,1797.0,0.1033055476,7.0,361.0,268.0
44,강북구,우이동,1033.0,0.05938488071,4.0,207.0,154.0
45,강북구,삼각산동,1258.0,0.07231963208,5.0,253.0,188.0
46,강북구,수유3동,1120.0,0.06438631791,4.0,225.0,167.0
47,강북구,송천동,1537.0,0.08835872377,6.0,309.0,229.0
48,강북구,수유1동,1286.0,0.07392929003,5.0,258.0,192.0
49,강북구,번3동,1988.0,0.1142857143,7.0,399.0,296.0
50,강북구,수유2동,1097.0,0.06306409888,4.0,220.0,164.0
51,강북구,번2동,1355.0,0.07789594711,5.0,272.0,202.0
52,강북구,번1동,1014.0,0.05829261282,4.0,204.0,151.0
