,지역,장애노인_1인가구_추정수,장애아동_인구수,장애인취업자,미수급자
0,강남구_개포1동,36,4,10.0,19.0
1,강남구_개포2동,89,38,24.0,47.0
2,강남구_개포4동,105,44,29.0,56.0
3,강남구_논현1동,92,25,25.0,49.0
4,강남구_논현2동,86,15,23.0,46.0
5,강남구_대치1동,47,20,13.0,25.0
6,강남구_대치2동,98,40,27.0,52.0
7,강남구_대치4동,66,20,18.0,35.0
8,강남구_도곡1동,64,24,17.0,35.0
9,강남구_도곡2동,82,36,22.0,44.0
10,강남구_삼성1동,49,16,13.0,26.0
11,강남구_삼성2동,96,33,26.0,52.0
12,강남구_세곡동,327,134,89.0,175.0
13,강남구_수서동,356,16,97.0,190.0
14,강남구_신사동,67,18,18.0,35.0
15,강남구_압구정동,84,19,23.0,45.0
16,강남구_역삼1동,123,16,33.0,65.0
17,강남구_역삼2동,107,45,29.0,57.0
18,강남구_일원1동,182,48,50.0,97.0
19,강남구_일원2동,199,49,54.0,106.0
20,강남구_일원본동,119,81,33.0,64.0
21,강남구_청담동,82,34,22.0,44.0
22,강동구_강일동,274,75,16.0,124.0
23,강동구_고덕1동,115,61,7.0,52.0
24,강동구_고덕2동,135,40,8.0,61.0
25,강동구_길동,334,55,19.0,151.0
26,강동구_둔촌2동,157,45,9.0,71.0
27,강동구_명일1동,144,35,8.0,65.0
28,강동구_명일2동,75,28,4.0,34.0
29,강동구_상일1동,174,88,10.0,79.0
30,강동구_상일2동,92,33,5.0,42.0
31,강동구_성내1동,109,33,6.0,49.0
32,강동구_성내2동,180,16,10.0,81.0
33,강동구_성내3동,147,34,8.0,67.0
34,강동구_암사1동,283,58,16.0,128.0
35,강동구_암사2동,84,23,5.0,38.0
36,강동구_암사3동,93,57,5.0,42.0
37,강동구_천호1동,239,57,14.0,108.0
38,강동구_천호2동,278,57,16.0,126.0
39,강동구_천호3동,219,21,13.0,99.0
40,강북구_미아동,192,25,4.0,60.0
41,강북구_번1동,171,18,4.0,53.0
42,강북구_번2동,228,32,5.0,70.0
43,강북구_번3동,335,27,7.0,103.0
44,강북구_삼각산동,212,62,5.0,65.0
45,강북구_삼양동,226,53,5.0,69.0
46,강북구_송중동,239,33,5.0,74.0
47,강북구_송천동,259,23,6.0,80.0
48,강북구_수유1동,217,90,5.0,66.0
49,강북구_수유2동,185,36,4.0,56.0
50,강북구_수유3동,189,23,4.0,58.0
51,강북구_우이동,174,32,4.0,53.0
52,강북구_인수동,303,53,7.0,93.0
53,강서구_가양1동,134,36,8.0,44.0
54,강서구_가양2동,407,27,24.0,134.0
55,강서구_가양3동,279,16,17.0,91.0
56,강서구_공항동,221,52,13.0,72.0
57,강서구_등촌1동,125,24,7.0,41.0
58,강서구_등촌2동,120,26,7.0,39.0
59,강서구_등촌3동,625,41,37.0,205.0
60,강서구_발산1동,251,69,15.0,82.0
61,강서구_방화1동,295,80,17.0,96.0
62,강서구_방화2동,270,24,16.0,89.0
63,강서구_방화3동,335,29,20.0,110.0
64,강서구_염창동,176,80,10.0,58.0
65,강서구_우장산동,210,61,12.0,69.0
66,강서구_화곡1동,349,47,21.0,115.0
67,강서구_화곡2동,127,31,8.0,41.0
68,강서구_화곡3동,138,19,8.0,45.0
69,강서구_화곡4동,168,28,10.0,55.0
70,강서구_화곡6동,163,31,10.0,54.0
71,강서구_화곡8동,175,33,10.0,57.0
72,강서구_화곡본동,236,53,14.0,77.0
73,관악구_낙성대동,78,9,4.0,31.0
74,관악구_난곡동,277,57,14.0,110.0
75,관악구_난향동,114,26,6.0,45.0
76,관악구_남현동,93,13,5.0,37.0
77,관악구_대학동,126,19,6.0,49.0
78,관악구_미성동,243,49,12.0,96.0
79,관악구_보라매동,186,47,9.0,73.0
80,관악구_삼성동,243,35,12.0,95.0
81,관악구_서림동,149,24,8.0,59.0
82,관악구_서원동,132,19,7.0,52.0
83,관악구_성현동,240,41,12.0,94.0
84,관악구_신림동,93,6,5.0,37.0
85,관악구_신사동,157,30,8.0,62.0
86,관악구_신원동,144,12,7.0,57.0
87,관악구_은천동,278,58,14.0,110.0
88,관악구_인헌동,153,24,8.0,61.0
89,관악구_조원동,118,22,6.0,47.0
90,관악구_중앙동,101,15,5.0,39.0
91,관악구_청룡동,189,30,10.0,75.0
92,관악구_청림동,112,22,6.0,44.0
93,관악구_행운동,178,25,9.0,70.0
94,광진구_광장동,121,42,7.0,53.0
95,광진구_구의1동,133,20,8.0,59.0
96,광진구_구의2동,180,39,11.0,79.0
97,광진구_구의3동,137,35,8.0,60.0
98,광진구_군자동,135,22,8.0,60.0
99,광진구_능동,65,6,4.0,29.0
100,광진구_자양1동,158,20,10.0,70.0
101,광진구_자양2동,156,31,9.0,70.0
102,광진구_자양3동,135,35,8.0,59.0
103,광진구_자양4동,147,11,9.0,65.0
104,광진구_중곡1동,112,16,7.0,50.0
105,광진구_중곡2동,149,30,9.0,65.0
106,광진구_중곡3동,125,19,8.0,56.0
107,광진구_중곡4동,220,20,13.0,98.0
108,광진구_화양동,90,5,5.0,40.0
109,구로구_가리봉동,91,9,7.0,35.0
110,구로구_개봉1동,282,49,22.0,109.0
111,구로구_개봉2동,245,45,19.0,95.0
112,구로구_개봉3동,177,24,14.0,69.0
113,구로구_고척1동,186,38,15.0,73.0
114,구로구_고척2동,222,43,18.0,87.0
115,구로구_구로1동,89,25,7.0,35.0
116,구로구_구로2동,240,39,19.0,93.0
117,구로구_구로3동,156,29,12.0,60.0
118,구로구_구로4동,210,20,17.0,82.0
119,구로구_구로5동,191,34,15.0,74.0
120,구로구_수궁동,214,62,17.0,83.0
121,구로구_신도림동,159,46,13.0,62.0
122,구로구_오류1동,187,29,15.0,73.0
123,구로구_오류2동,349,98,28.0,136.0
124,구로구_항동,95,42,8.0,37.0
125,금천구_가산동,124,17,21.0,42.0
126,금천구_독산1동,335,56,57.0,115.0
127,금천구_독산2동,163,33,28.0,56.0
128,금천구_독산3동,205,29,35.0,70.0
129,금천구_독산4동,134,25,23.0,46.0
130,금천구_시흥1동,282,53,48.0,96.0
131,금천구_시흥2동,189,37,32.0,65.0
132,금천구_시흥3동,93,8,16.0,32.0
133,금천구_시흥4동,192,27,33.0,65.0
134,금천구_시흥5동,211,46,36.0,72.0
135,노원구_공릉1동,371,48,9.0,127.0
