,CUSTNO,년도,반기,구매합계,평균구매,구매빈도,고정고객여부
2,1,2015,1,17898365,57367,312,고정고객
6,2,2015,1,27791610,106481,261,고정고객
10,3,2015,1,592280,2692,220,고정고객
14,4,2015,1,3656937,13905,263,고정고객
18,5,2015,1,2934930,23861,123,고정고객
22,6,2015,1,6389055,16093,397,고정고객
26,7,2015,1,21023304,105117,200,고정고객
30,8,2015,1,14506420,27631,525,고정고객
34,9,2015,1,83988810,435175,193,고정고객
38,10,2015,1,5268427,5739,918,고정고객
42,11,2015,1,33356200,198549,168,고정고객
46,12,2015,1,1233344,8747,141,고정고객
50,13,2015,1,5059991,5995,844,고정고객
54,14,2015,1,11421564,40502,282,고정고객
58,15,2015,1,8387138,29429,285,고정고객
62,16,2015,1,3654695,16612,220,고정고객
66,17,2015,1,24983228,86149,290,고정고객
70,18,2015,1,2794320,27667,101,고정고객
74,19,2015,1,11059410,81922,135,고정고객
78,20,2015,1,6624950,26394,251,고정고객
82,21,2015,1,7186304,13308,540,고정고객
86,22,2015,1,37499200,243501,154,고정고객
90,23,2015,1,15464550,86394,179,고정고객
94,24,2015,1,2290513,12655,181,고정고객
98,25,2015,1,19249381,91229,211,고정고객
102,26,2015,1,24805516,84086,295,고정고객
106,27,2015,1,13650380,92860,147,고정고객
110,28,2015,1,2038994,6752,302,고정고객
114,29,2015,1,20350894,73205,278,고정고객
118,30,2015,1,27172546,52762,515,고정고객
122,31,2015,1,3225860,12407,260,고정고객
126,32,2015,1,4532715,12384,366,고정고객
130,33,2015,1,2513110,3976,632,고정고객
134,34,2015,1,3614970,16582,218,고정고객
138,35,2015,1,12242601,41500,295,고정고객
142,36,2015,1,10173310,52986,192,고정고객
146,37,2015,1,16756820,64449,260,고정고객
150,38,2015,1,5494639,7952,691,고정고객
154,39,2015,1,35631338,203608,175,고정고객
158,40,2015,1,7116033,32199,221,고정고객
162,41,2015,1,4938550,23405,211,고정고객
166,42,2015,1,4384147,6583,666,고정고객
170,43,2015,1,1442350,4242,340,고정고객
174,44,2015,1,9832914,42383,232,고정고객
178,45,2015,1,77343532,348394,222,고정고객
182,46,2015,1,48694400,263213,185,고정고객
