,t_num,cusno,gender,age,age_category,region,product,price,quantity,amount,date,date_ym
0,23055,1357,0,29,20,1,10,8,10,80,2020-01-01,202001
1,34720,1403,1,46,40,1,20,493,9,4437,2020-01-01,202001
2,30105,1480,1,54,50,1,20,483,5,2415,2020-01-01,202001
3,12805,1884,0,47,40,1,30,1931,5,9655,2020-01-01,202001
4,33926,1757,0,56,50,1,10,8,16,128,2020-01-01,202001
5,26716,1403,1,46,40,1,10,48,12,576,2020-01-01,202001
6,36429,1152,1,33,30,1,10,15,17,255,2020-01-01,202001
7,21734,1137,0,49,40,1,10,25,19,475,2020-01-01,202001
8,10360,1527,0,50,50,1,10,46,1,46,2020-01-01,202001
9,43622,1149,0,37,30,1,20,207,4,828,2020-01-01,202001
10,17516,1230,1,60,60,1,10,84,7,588,2020-01-01,202001
11,14647,1736,0,37,30,1,10,54,17,918,2020-01-01,202001
12,29364,1173,1,35,30,1,10,57,20,1140,2020-01-01,202001
13,18281,1956,1,41,40,1,10,11,7,77,2020-01-01,202001
14,46967,1900,0,46,40,1,20,151,9,1359,2020-01-01,202001
15,44648,1192,1,51,50,1,20,216,2,432,2020-01-01,202001
16,10277,1224,1,68,60,1,20,387,4,1548,2020-01-02,202001
17,12174,1791,0,25,20,1,10,8,2,16,2020-01-02,202001
18,42442,1332,0,43,40,1,10,48,13,624,2020-01-02,202001
19,18330,1961,0,48,40,1,10,36,13,468,2020-01-02,202001
20,24246,1911,1,33,30,1,10,71,1,71,2020-01-02,202001
21,45913,1144,0,44,40,1,20,185,7,1295,2020-01-02,202001
22,42274,1844,0,63,60,1,20,354,1,354,2020-01-02,202001
23,14635,1533,0,30,30,1,10,57,6,342,2020-01-02,202001
24,33321,1202,1,48,40,1,10,84,3,252,2020-01-02,202001
25,43609,1991,0,44,40,1,10,66,1,66,2020-01-02,202001
26,40757,1630,1,50,50,1,10,60,19,1140,2020-01-02,202001
27,19722,1291,0,25,20,1,10,29,14,406,2020-01-02,202001
28,17438,1753,1,48,40,1,10,8,8,64,2020-01-02,202001
29,40120,1252,0,48,40,1,10,11,14,154,2020-01-02,202001
30,21328,1753,1,48,40,1,20,385,6,2310,2020-01-02,202001
31,43026,1618,0,49,40,1,10,39,7,273,2020-01-02,202001
32,15978,1169,0,51,50,1,20,228,6,1368,2020-01-02,202001
33,27748,1881,1,60,60,1,10,35,11,385,2020-01-03,202001
34,21283,1363,0,60,60,1,20,251,8,2008,2020-01-03,202001
35,24553,1294,1,57,50,1,30,981,2,1962,2020-01-03,202001
36,29263,1520,0,47,40,1,10,87,6,522,2020-01-03,202001
